precio,titulo_anuncio,tipo_alojamineto,n_personas,n_dormitorios,n_camas,n_banos,valoracion,n_evaluaciones,comunidad,url
44.0,"Vivienda ""El Drago de La Palma""",piso,2.0,1.0,1.0,1.0,4.86,422.0,islas_canarias,https://www.airbnb.es/rooms/16514268?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-10&check_out=2023-10-17&source_impression_id=p3_1691172379_Tn56Tu2r6trhe7SH&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
40.0,"Casa Marisol, increible casa en S/C de La Palma",piso,6.0,2.0,3.0,1.0,4.87,71.0,islas_canarias,https://www.airbnb.es/rooms/39850724?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-26&source_impression_id=p3_1691172362_%2BrlBTVeX%2FobhJfTb&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
52.0,Apartamento bien cuidado en acantilado lado suroeste,piso,2.0,1.0,2.0,1.0,4.86,118.0,islas_canarias,https://www.airbnb.es/rooms/2156687?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-12&source_impression_id=p3_1691172374_eBbgOSgwA9BJtFoz&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
65.0,Casa rural La Vista,piso,3.0,1.0,3.0,1.0,4.83,467.0,islas_canarias,https://www.airbnb.es/rooms/1929762?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691172358_rnRjRtDR4cGggD7j&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
30.0,Pequeño Ático con terraza,piso,2.0,1.0,1.0,1.0,1.0,137.0,islas_canarias,https://www.airbnb.es/rooms/866469517976598817?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-12&check_out=2023-10-17&source_impression_id=p3_1691172366_s5xOSxer3lZDFTr0&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
42.0,Vistas nuevas del Rosario,piso,2.0,1.0,2.0,1.0,4.8,81.0,islas_canarias,https://www.airbnb.es/rooms/26116394?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1691172379_fQdYeM4sIS2L%2BaVz&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
50.0,Kiyara,piso,6.0,2.0,4.0,1.0,4.81,64.0,islas_canarias,https://www.airbnb.es/rooms/45140495?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-23&source_impression_id=p3_1691172375_SWsevRoIgQgsbmzr&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
40.0,La casa de El Faro,piso,5.0,2.0,3.0,1.0,4.36,147.0,islas_canarias,https://www.airbnb.es/rooms/24111300?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691172358_%2FEooWmu85W6YBZTX&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
37.0,Casa Domingo,piso,3.0,2.0,3.0,1.0,4.52,155.0,islas_canarias,https://www.airbnb.es/rooms/16272473?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691172370_v0tB69VfxpdVRgRf&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
40.0,"""Casa Goyo"" Apartamento rural en Valle Gran Rey",piso,2.0,1.0,2.0,1.0,4.88,64.0,islas_canarias,https://www.airbnb.es/rooms/40257617?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691172358_Va1a8MJQqYq2yn99&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
59.0,"""Burrero Bay Home"" Llega, relájate y siente tu corazón",piso,4.0,2.0,2.0,1.0,4.97,175.0,islas_canarias,https://www.airbnb.es/rooms/19523996?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-06&check_out=2023-10-11&source_impression_id=p3_1691172382_H%2FmB5BThAM%2B4DGEM&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
78.0,Casa ecológica con vistas al mar.,piso,4.0,1.0,4.0,1.0,4.81,233.0,islas_canarias,https://www.airbnb.es/rooms/155515?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691172398_e9EdoxoPBlQg4wMa&previous_page_section_name=1000&federated_search_id=0740985b-f5f3-4f50-9c16-8534c5ce5db7
